               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                                    0,             0.11997,            0.065064,                   0,            0.080415,            0.069238,            0.019993,           0.0042494,              0.1068,            0.072209,                   0,           0.0033292,           0.0033292,            0.070037
                   1,            0.095542,            0.060472,                   0,             0.53967,              0.2984,             0.29392,             0.11152,            0.080036,            0.054405,                   0,           0.0066624,           0.0066624,            0.040037
                   2,            0.083372,            0.057798,                   0,             0.56041,             0.37774,             0.35978,             0.15124,            0.071268,            0.052916,                   0,           0.0099949,           0.0099949,            0.010036
                   3,            0.075975,            0.054868,                   0,             0.76296,             0.43859,             0.50086,             0.22577,            0.066355,            0.049439,                   0,           0.0099978,           0.0099978,           0.0099978
                   4,            0.071093,            0.053211,                   0,             0.80109,             0.48126,             0.54622,             0.25919,            0.062106,            0.048238,                   0,           0.0099978,           0.0099978,           0.0099978
                   5,            0.068315,            0.052267,                   0,             0.80441,             0.50275,              0.5681,             0.27064,            0.061037,            0.046686,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,            0.065857,            0.051558,                   0,             0.82107,              0.5257,             0.59348,             0.29203,            0.059039,            0.045902,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.065163,            0.051032,                   0,             0.81695,             0.54546,             0.61016,             0.29868,            0.058149,            0.045768,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.064076,            0.050076,                   0,             0.82378,             0.55786,             0.62229,             0.31017,            0.057274,            0.045395,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.063064,            0.049102,                   0,             0.83664,             0.55408,             0.62672,             0.31049,            0.056754,            0.045162,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,             0.06209,            0.048396,                   0,             0.82718,             0.56756,             0.63322,              0.3147,            0.056477,            0.044778,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.061997,            0.049248,                   0,             0.84918,             0.56345,              0.6362,             0.32228,            0.055871,            0.044339,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.060855,            0.048523,                   0,             0.83464,             0.57601,             0.64296,             0.32735,            0.055183,            0.044573,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.061214,            0.048251,                   0,             0.83109,             0.57893,             0.64404,             0.32702,            0.055035,            0.044692,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.060437,            0.047727,                   0,             0.83493,             0.59032,             0.65426,             0.33633,            0.054349,            0.044071,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.060067,            0.048373,                   0,             0.83282,             0.59307,             0.65632,             0.33688,            0.054535,            0.044864,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.060193,            0.048537,                   0,             0.84318,             0.59968,             0.66627,              0.3423,            0.053973,             0.04402,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.059725,            0.048037,                   0,             0.84926,             0.59811,             0.66659,             0.34326,            0.053602,            0.043917,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.059419,            0.048777,                   0,             0.84981,             0.60299,             0.67181,             0.34898,            0.053226,            0.044184,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.058707,            0.047444,                   0,             0.83902,             0.61553,             0.67723,             0.35028,              0.0532,            0.043783,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.058298,            0.047805,                   0,             0.84912,             0.61101,             0.67826,             0.35342,            0.052944,            0.043427,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.058168,            0.047523,                   0,              0.8509,             0.61375,             0.68065,             0.35632,            0.052633,            0.043292,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.058943,            0.047732,                   0,             0.85584,             0.61321,              0.6816,             0.35502,            0.052628,             0.04347,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.058004,            0.047194,                   0,             0.85225,             0.62037,              0.6863,             0.36017,            0.052261,            0.043132,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.057626,            0.047598,                   0,             0.85702,             0.62304,             0.69003,             0.36066,            0.052196,            0.043197,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.057327,            0.047001,                   0,             0.85492,             0.62277,             0.69107,             0.36214,            0.052056,            0.043172,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,             0.05737,            0.046847,                   0,             0.85583,             0.62573,             0.69399,             0.36503,            0.051802,            0.043024,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.057515,            0.046477,                   0,             0.85302,             0.62833,             0.69251,             0.36426,            0.051725,            0.043065,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.057814,             0.04712,                   0,             0.86575,             0.62759,              0.6986,             0.36727,            0.051534,            0.043131,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.057291,            0.046402,                   0,             0.85848,             0.62951,             0.69841,             0.36898,            0.051432,            0.042838,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.056977,            0.046437,                   0,             0.86676,              0.6275,              0.6993,             0.36942,            0.051257,            0.042851,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,             0.05699,            0.046922,                   0,             0.88064,             0.62463,             0.70407,             0.37263,            0.051108,            0.042786,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.056839,            0.046831,                   0,             0.85375,             0.64113,             0.70635,             0.37369,            0.051034,            0.042668,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.056607,            0.046488,                   0,             0.86018,             0.63887,             0.70739,             0.37635,            0.050867,            0.042611,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.056591,            0.046862,                   0,             0.86818,             0.63912,             0.70961,             0.37637,            0.050874,              0.0426,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.056169,             0.04662,                   0,             0.87741,             0.63327,             0.70998,              0.3764,             0.05079,            0.042577,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.055992,            0.045907,                   0,             0.87682,             0.63445,             0.71017,             0.37776,            0.050608,            0.042408,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.056075,            0.046892,                   0,             0.86755,              0.6402,             0.70997,             0.37764,            0.050515,            0.042438,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.055828,            0.045404,                   0,             0.86088,             0.64454,             0.71207,             0.37906,            0.050421,            0.042512,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.055889,            0.045186,                   0,             0.86738,             0.64297,             0.71364,             0.38106,            0.050281,            0.042503,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.055633,            0.045326,                   0,             0.86918,             0.64308,             0.71584,              0.3824,            0.050216,            0.042474,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.055731,              0.0461,                   0,             0.86744,             0.64635,             0.71672,              0.3833,            0.050149,            0.042334,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.055808,            0.045631,                   0,             0.86239,             0.65119,             0.71816,             0.38422,            0.050139,             0.04219,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.055589,            0.045204,                   0,             0.86537,             0.65106,              0.7181,             0.38514,            0.049987,            0.042248,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.055984,            0.046257,                   0,             0.86721,             0.65164,             0.72038,             0.38593,            0.049921,            0.042177,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.05572,            0.045828,                   0,             0.87344,             0.64733,             0.72019,             0.38614,            0.049917,             0.04217,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.055843,            0.044656,                   0,             0.87127,             0.65062,             0.72183,             0.38686,            0.049831,             0.04216,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.055053,            0.045346,                   0,             0.87815,              0.6459,             0.72102,             0.38637,            0.049754,            0.042411,                   0,           0.0094879,           0.0094879,           0.0094879
